"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.819340900E-2,2.300000042E-1,-4.099999964E-1,1.019999981E-1
1.031811020E-1,2.189999968E-1,-4.639999866E-1,1.809999943E-1
1.081687940E-1,1.400000006E-1,-4.300000072E-1,1.640000045E-1
1.131562740E-1,1.220000014E-1,-3.899999857E-1,1.309999973E-1
1.181439650E-1,2.099999972E-2,-3.269999921E-1,7.999999821E-2
1.231315820E-1,-7.299999893E-2,-2.709999979E-1,4.500000179E-2
1.281193000E-1,-2.569999993E-1,-1.819999963E-1,-1.260000020E-1
1.331069930E-1,-2.689999938E-1,-1.080000028E-1,-2.599999905E-1
1.380944700E-1,-3.050000072E-1,-7.999999821E-2,-3.510000110E-1
1.430821610E-1,-2.840000093E-1,-8.500000089E-2,-3.810000122E-1
1.480698530E-1,-2.619999945E-1,-1.180000007E-1,-4.810000062E-1
1.530575690E-1,-3.089999855E-1,-1.379999965E-1,-6.100000143E-1
1.580451870E-1,-2.800000012E-1,-1.550000012E-1,-7.260000110E-1
1.630328770E-1,-1.110000014E-1,-1.620000005E-1,-8.289999962E-1
1.680203450E-1,-1.609999985E-1,-1.700000018E-1,-9.340000153E-1
1.730080350E-1,-1.309999973E-1,-1.469999999E-1,-9.340000153E-1
1.779957270E-1,-8.699999750E-2,-1.120000035E-1,-8.640000224E-1
1.829833400E-1,-1.790000051E-1,-8.399999887E-2,-7.559999824E-1
1.879710300E-1,-2.060000002E-1,-4.199999943E-2,-5.950000286E-1
1.929584930E-1,-2.840000093E-1,9.999999776E-3,-4.690000117E-1
1.979461980E-1,-1.829999983E-1,4.800000042E-2,-3.880000114E-1
2.029338900E-1,-4.500000179E-2,5.700000003E-2,-3.300000131E-1
2.079215820E-1,3.999999911E-2,9.399999678E-2,-3.589999974E-1
2.129091940E-1,1.700000018E-1,1.150000021E-1,-3.980000019E-1
2.178968840E-1,2.450000048E-1,1.319999993E-1,-3.650000095E-1
2.228845760E-1,2.669999897E-1,1.500000060E-1,-2.989999950E-1
2.278720540E-1,2.169999927E-1,1.539999992E-1,-1.700000018E-1
2.328597440E-1,1.700000018E-1,1.350000054E-1,-1.400000043E-2
2.378473620E-1,-2.199999988E-1,-8.900000155E-2,-1.070000008E-1
2.428350760E-1,-1.350000054E-1,3.400000185E-2,1.759999990E-1
2.478227680E-1,-5.799999833E-2,1.860000044E-1,3.319999874E-1
2.528104800E-1,1.190000027E-1,3.269999921E-1,4.359999895E-1
2.577979430E-1,2.220000029E-1,3.799999952E-1,3.970000148E-1
2.627856340E-1,1.749999970E-1,3.100000024E-1,2.099999934E-1
2.677733460E-1,9.399999678E-2,1.979999989E-1,-1.000000047E-3
2.727609630E-1,8.699999750E-2,1.239999980E-1,-3.700000048E-2
2.777486540E-1,1.250000000E-1,1.030000001E-1,1.070000008E-1
2.827361360E-1,3.999999911E-2,1.010000035E-1,2.290000021E-1
2.877238260E-1,-3.999999911E-2,8.500000089E-2,3.499999940E-1
2.927115050E-1,-1.410000026E-1,3.099999949E-2,4.830000103E-1
2.976991970E-1,-1.550000012E-1,-2.800000086E-2,6.259999871E-1
3.026868150E-1,-2.419999987E-1,-5.999999866E-2,6.539999843E-1
3.076744860E-1,-2.800000012E-1,-6.400000304E-2,6.240000129E-1
3.126621780E-1,-2.949999869E-1,-2.199999988E-2,5.820000172E-1
3.176496420E-1,-1.650000066E-1,4.000000190E-3,5.320000052E-1
3.226373510E-1,-7.599999756E-2,5.099999905E-2,4.639999866E-1
3.276250430E-1,-1.239999980E-1,7.500000298E-2,3.880000114E-1
3.326126370E-1,-2.179999948E-1,7.900000364E-2,2.700000107E-1
3.376003270E-1,-2.910000086E-1,5.999999866E-2,1.400000006E-1
3.425880190E-1,-3.269999921E-1,7.800000161E-2,1.600000076E-2
3.475754730E-1,-2.689999938E-1,9.700000286E-2,-7.599999756E-2
3.525631630E-1,-1.770000011E-1,8.900000155E-2,-9.600000083E-2
3.575508560E-1,-6.700000167E-2,5.999999866E-2,-2.999999933E-2
3.625384730E-1,-4.399999976E-2,6.899999827E-2,1.430000067E-1
3.675261630E-1,-1.270000041E-1,9.899999946E-2,3.880000114E-1
3.725138660E-1,-1.449999958E-1,1.129999980E-1,5.979999900E-1
3.775013290E-1,-1.049999967E-1,1.099999994E-1,7.139999866E-1
3.824890190E-1,-4.100000113E-2,1.070000008E-1,7.450000048E-1
3.874767260E-1,2.000000095E-3,1.080000028E-1,7.089999914E-1
3.924643430E-1,-2.199999988E-2,1.129999980E-1,6.840000153E-1
3.974520340E-1,-5.999999866E-2,1.120000035E-1,6.299999952E-1
4.024397260E-1,-7.599999756E-2,1.120000035E-1,5.989999771E-1
4.074271890E-1,-5.099999905E-2,9.700000286E-2,5.619999766E-1
4.124148800E-1,-5.799999833E-2,6.800000370E-2,5.009999871E-1
4.174025620E-1,-7.699999958E-2,5.600000173E-2,5.040000081E-1
4.223902540E-1,-2.169999927E-1,1.270000041E-1,4.699999988E-1
4.273778720E-1,-2.540000081E-1,1.749999970E-1,3.759999871E-1
4.323655860E-1,6.199999899E-2,1.469999999E-1,4.099999964E-1
4.373532780E-1,1.239999980E-1,6.400000304E-2,2.240000069E-1
4.423407420E-1,1.499999966E-2,-1.300000027E-2,5.900000036E-2
4.473284320E-1,-8.799999952E-2,-9.300000221E-2,-2.700000070E-2
4.523161250E-1,-9.899999946E-2,-1.080000028E-1,-4.600000009E-2
4.573037420E-1,-1.019999981E-1,-9.099999815E-2,-5.000000075E-2
4.622914180E-1,-8.900000155E-2,-2.300000004E-2,-3.599999845E-2
4.672791110E-1,-2.400000021E-2,4.199999943E-2,2.600000054E-2
4.722668030E-1,8.999999613E-3,6.800000370E-2,9.300000221E-2
4.772542800E-1,-7.199999690E-2,7.000000030E-2,1.379999965E-1
4.822419710E-1,-1.729999930E-1,3.999999911E-2,2.020000070E-1
4.872296630E-1,-2.649999857E-1,1.099999994E-2,3.050000072E-1
4.922172750E-1,-3.549999893E-1,-1.300000027E-2,3.670000136E-1
4.972049650E-1,-4.429999888E-1,-4.699999839E-2,4.120000005E-1
5.021926570E-1,-4.850000143E-1,-7.800000161E-2,4.390000105E-1
5.071801310E-1,-4.779999852E-1,-1.159999967E-1,4.370000064E-1
5.121678210E-1,-3.799999952E-1,-1.500000060E-1,4.760000110E-1
5.171555130E-1,-3.079999983E-1,-1.749999970E-1,5.339999795E-1
5.221432540E-1,-2.669999897E-1,-2.010000050E-1,5.569999814E-1
5.271308710E-1,-2.140000015E-1,-2.070000023E-1,5.680000186E-1
5.321185610E-1,-1.439999938E-1,-2.339999974E-1,5.559999943E-1
5.371060110E-1,-3.999999911E-2,-2.469999939E-1,5.749999881E-1
5.420937010E-1,2.400000021E-2,-2.380000055E-1,5.860000253E-1
5.470813940E-1,6.899999827E-2,-2.399999946E-1,6.280000210E-1
5.520690660E-1,1.319999993E-1,-2.430000007E-1,6.359999776E-1
5.570566830E-1,1.720000058E-1,-2.349999994E-1,5.400000215E-1
5.620443740E-1,2.259999961E-1,-2.240000069E-1,3.910000026E-1
5.670320760E-1,2.860000134E-1,-2.479999959E-1,1.580000073E-1
5.720197680E-1,3.260000050E-1,-2.560000122E-1,-1.030000001E-1
5.770074560E-1,3.199999928E-1,-2.409999967E-1,-3.659999967E-1
5.819949190E-1,2.540000081E-1,-1.949999928E-1,-6.240000129E-1
5.869825330E-1,2.029999942E-1,-1.360000074E-1,-8.820000291E-1
5.919702250E-1,1.780000031E-1,-8.399999887E-2,-1.065999985E0
5.969579170E-1,1.350000054E-1,-5.999999866E-2,-1.199000001E0
6.019453810E-1,7.500000298E-2,-2.500000037E-2,-1.319000006E0
6.069330710E-1,4.800000042E-2,2.500000037E-2,-1.444000006E0
6.119207630E-1,4.800000042E-2,5.700000003E-2,-1.559000015E0
6.169084560E-1,4.600000009E-2,9.099999815E-2,-1.631999969E0
6.218960730E-1,6.599999964E-2,1.260000020E-1,-1.679000020E0
6.268837630E-1,7.900000364E-2,1.640000045E-1,-1.590000033E0
6.318714610E-1,7.100000232E-2,1.930000037E-1,-1.411999941E0
6.368591530E-1,4.300000146E-2,2.290000021E-1,-1.146999955E0
6.418466170E-1,5.400000140E-2,2.500000000E-1,-9.060000181E-1
6.468343160E-1,6.400000304E-2,2.440000027E-1,-6.330000162E-1
6.518220080E-1,1.049999967E-1,1.759999990E-1,-3.240000010E-1
6.568096020E-1,1.260000020E-1,4.899999872E-2,2.700000070E-2
6.617972920E-1,1.480000019E-1,-8.100000024E-2,2.569999993E-1
6.667849840E-1,1.700000018E-1,-1.930000037E-1,4.199999869E-1
6.717726630E-1,2.680000067E-1,-2.750000060E-1,5.770000219E-1
6.767603550E-1,2.660000026E-1,-3.440000117E-1,6.710000038E-1
6.817478320E-1,2.300000004E-2,-3.499999940E-1,7.599999905E-1
6.867355230E-1,9.499999881E-2,-3.829999864E-1,8.339999914E-1
6.917231400E-1,2.409999967E-1,-3.720000088E-1,7.960000038E-1
