"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.023018622E0,6.493445390E1,2.541566640E1,9.078085689E0,NaN,NaN,1.163099957E1,1.000000000E0
1.448300923E0,6.493445390E1,2.541566640E1,9.078085689E0,NaN,NaN,1.460599995E1,1.595000029E0
2.194501862E1,6.493430030E1,2.541629500E1,8.777966156E0,NaN,NaN,1.995100021E1,1.000000000E0
4.188201862E1,6.493430320E1,2.541629300E1,8.677968250E0,NaN,NaN,2.009000015E1,1.000000000E0
6.196901862E1,6.493430760E1,2.541621460E1,8.677970454E0,NaN,NaN,2.004199982E1,1.000000000E0
8.199001862E1,6.493429770E1,2.541602680E1,8.777958380E0,NaN,NaN,3.040500069E1,1.000000000E0
1.019570186E2,6.493437710E1,2.541635380E1,8.678033632E0,NaN,NaN,1.546500015E1,1.000000000E0
1.219620186E2,6.493457840E1,2.541611670E1,8.778203785E0,NaN,NaN,2.083099937E1,1.000000000E0
1.420060186E2,6.493465950E1,2.541603420E1,8.778272438E0,NaN,NaN,1.695700073E1,1.000000000E0
1.619910186E2,6.493500360E1,2.541639070E1,8.778578473E0,NaN,NaN,2.290900040E1,1.216150999E0
1.820220186E2,6.493508270E1,2.541669090E1,8.678653057E0,NaN,NaN,2.267799950E1,1.423321486E0
2.020200186E2,6.493522520E1,2.541724430E1,8.678788445E0,NaN,NaN,1.585000038E1,1.526308298E0
2.220310186E2,6.493520910E1,2.541826490E1,1.127879641E1,NaN,NaN,4.351200104E1,3.567225933E0
2.420300186E2,6.493533040E1,2.541850840E1,1.127890697E1,NaN,NaN,1.544499969E1,1.385787606E0
2.620110186E2,6.493533820E1,2.541992170E1,1.017894334E1,NaN,NaN,7.218900299E1,5.660728931E0
2.820580186E2,6.493542310E1,2.541959280E1,8.479009442E0,NaN,NaN,4.517300034E1,3.091207504E0
